date,latitude,longitude,depth,mag,place,province
2023-07-07,-103.642,1.201.969,40.059,4.2,"78 km S of Waingapu, Indonesia",Nusa Tenggara Timur
2023-07-07,-24.149,1.400.261,20.125,4.9,"70 km WNW of Abepura, Indonesia",Papua
2023-07-06,-70.351,1.294.749,124.939,5.3,"Kepulauan Babar, Indonesia",Maluku
2023-07-06,2.1826,122.71,10,4.6,"186 km NNW of Gorontalo, Indonesia",Gorontalo
2023-07-05,-1.114,972.927,10,5.1,"94 km SW of Teluk Dalam, Indonesia",Riau
2023-07-04,-75.191,1.282.909,144.008,4.1,"Kepulauan Barat Daya, Indonesia",Maluku
2023-07-03,-1.107,972.193,10,4.5,"99 km SW of Teluk Dalam, Indonesia",Riau
2023-07-03,-37.258,1.401.678,10,4.7,"135 km SSW of Abepura, Indonesia",Papua
2023-07-03,-37.294,1.401.702,12.993,5.4,"Papua, Indonesia",Papua
2023-07-02,138,974.465,18.578,4.2,"73 km SSW of Teluk Dalam, Indonesia",Riau
2023-07-02,-868,973.409,10,4.7,"89 km SW of Teluk Dalam, Indonesia",Riau
2023-07-02,9,972.781,14.72,4.6,"Nias region, Indonesia",Sumatra Utara
2023-07-02,-1.909,973.851,17.755,4.4,"96 km SSW of Teluk Dalam, Indonesia",Riau
2023-07-02,-1.034,973.302,19.819,5.1,"91 km SW of Teluk Dalam, Indonesia",Riau
2023-07-02,-36.552,1.375.595,10.653,4.5,"Papua, Indonesia",Papua
2023-07-02,-58.411,1.320.253,10,4.7,"83 km WSW of Tual, Indonesia",Maluku
2023-07-01,-79.537,1.176.429,12.061,4.8,"53 km NNE of Pototano, Indonesia",Nusa Tenggara Barat
2023-06-30,-86.741,1.100.406,85.747,5.8,"84 km SSW of Bambanglipuro, Indonesia",Yogyakarta
2023-06-30,-5.657,1.224.889,10,4.9,"Sulawesi, Indonesia",Sulawesi Utara
2023-06-30,3.4152,1.279.313,107.724,4.6,"186 km N of Tobelo, Indonesia",Maluku Utara
2023-06-29,2.1386,1.265.861,43.738,4.7,"164 km WNW of Tobelo, Indonesia",Maluku Utara
2023-06-28,1.8728,1.273.392,101.653,4.5,"76 km WNW of Tobelo, Indonesia",Maluku Utara
2023-06-27,-70.553,1.299.077,133.046,4.9,"Kepulauan Babar, Indonesia",Maluku
2023-06-27,-68.368,1.299.808,107.688,4.3,Banda Sea,Maluku
2023-06-27,-70.831,1.051.712,22.505,4.4,"106 km SW of Labuan, Indonesia",Banten
2023-06-26,2.3196,989.728,173.594,4.4,"38 km S of Parapat, Indonesia",Jawa Barat
2023-06-26,2.1705,984.775,85.898,5.2,"58 km NW of Sibolga, Indonesia",Sumatra Utara
2023-06-26,4.805,1.263.246,65.641,4.8,Molucca Sea,Maluku
2023-06-26,-87.039,1.124.743,89.478,4.2,"Java, Indonesia",Jawa Timur
2023-06-25,1.6379,1.266.483,47.793,4.5,"124 km NW of Ternate, Indonesia",Maluku Utara
2023-06-25,2.6798,1.285.612,233.85,4.3,"121 km NNE of Tobelo, Indonesia",Maluku Utara
2023-06-24,-83.933,1.132.915,152.187,4.3,"14 km SW of Kencong, Indonesia",Jawa Timur
2023-06-24,1.308,1.270.816,122.883,4.4,"66 km NNW of Ternate, Indonesia",Maluku Utara
2023-06-24,-63.414,130.107,163.193,4.6,Banda Sea,Maluku
2023-06-23,1.5073,1.282.723,81.699,4.4,"38 km SE of Tobelo, Indonesia",Maluku Utara
2023-06-23,-90.684,1.126.486,120.514,4.6,"95 km S of Dampit, Indonesia",Jawa Timur
2023-06-23,2.5826,958.472,26.373,4.2,"60 km W of Sinabang, Indonesia",Aceh
2023-06-23,2.6571,95.878,28.14,4.8,"Simeulue, Indonesia",Aceh
2023-06-22,1.0478,120.441,35,4.4,"225 km NNE of Palu, Indonesia",Sulawesi Tengah
2023-06-22,-63.715,1.312.502,53.7,4.6,"185 km WSW of Tual, Indonesia",Maluku
2023-06-20,-9.802,986.091,22.438,5.5,"159 km NW of Tuapejat, Indonesia",Sumatra Barat
2023-06-20,-9.813,984.808,20.121,4.7,"169 km NW of Tuapejat, Indonesia",Sumatra Barat
2023-06-19,2.0805,1.282.998,90.831,5.2,"50 km NE of Tobelo, Indonesia",Maluku Utara
2023-06-19,-74.994,112.502,9.013,4.2,"Java, Indonesia",Jawa Timur
2023-06-19,-171,1.250.959,60.603,4.6,Molucca Sea,Maluku
2023-06-19,-1.797,1.251.999,54.723,4.8,"109 km SE of Modisi, Indonesia",Sulawesi Utara
2023-06-17,2.6182,1.261.509,55.789,4.6,"172 km NE of Bitung, Indonesia",Sulawesi Utara
2023-06-17,-81.909,1.204.949,180.922,4.4,"46 km N of Ruteng, Indonesia",Nusa Tenggara Timur
2023-06-17,8.481,1.202.357,80.875,4.3,"198 km NNE of Palu, Indonesia",Sulawesi Tengah
2023-06-17,-96.262,1.142.369,61.051,4.3,"south of Bali, Indonesia",Bali
2023-06-16,-66.151,1.297.476,166.229,4.3,Banda Sea,Maluku
2023-06-16,-80.271,1.229.098,205.82,4.4,"101 km NE of Maumere, Indonesia",Nusa Tenggara Timur
2023-06-16,-71.834,1.295.457,159.596,4.4,"Kepulauan Babar, Indonesia",Maluku
2023-06-16,-80.599,1.201.472,197.735,4,"Flores region, Indonesia",Nusa Tenggara Timur
2023-06-15,2.8606,1.226.381,540.432,4.1,"261 km N of Gorontalo, Indonesia",Gorontalo
2023-06-15,2.737,1.260.182,58.528,4.3,"162 km WSW of Ternate, Indonesia",Maluku Utara
2023-06-15,-91.924,123.937,35,4.6,"48 km NNE of Naisano Dua, Indonesia",Nusa Tenggara Timur
2023-06-15,-17.229,1.389.308,26.563,4.1,"212 km WNW of Abepura, Indonesia",Papua
2023-06-14,-70.775,1.170.872,603.494,4.4,"153 km NNW of Pototano, Indonesia",Nusa Tenggara Barat
